dataset	record_type	gate	biological_unit	rabbit_id	condition_or_day	module	selected_cell_count	module_score	injured_minus_control_residual	day7_mean_residual	day28_mean_residual	cross_sectional_day7_minus_day28	direction
GSE328779	rabbit_residual	PRIMARY_ROUGH_CELL_TYPE	616E	616E	Day7	Keratocyte-associated identity	7704.0		-0.016080866086868872				
GSE328779	gate_summary	PRIMARY_ROUGH_CELL_TYPE	day_group_mean			Keratocyte-associated identity				-0.07881427574671554	-0.02469281376637661	-0.05412146198033893	negative
GSE328779	rabbit_residual	PRIMARY_ROUGH_CELL_TYPE	594E	594E	Day7	Inflammation-associated response	10800.0		0.2159656203947338				
GSE328779	rabbit_residual	PRIMARY_ROUGH_CELL_TYPE	595E	595E	Day28	Inflammation-associated response	7356.0		0.04270531588978899				
GSE328779	rabbit_residual	PRIMARY_ROUGH_CELL_TYPE	596E	596E	Day28	Inflammation-associated response	4473.0		0.05599990592296461				
GSE328779	rabbit_residual	PRIMARY_ROUGH_CELL_TYPE	616E	616E	Day7	Inflammation-associated response	7704.0		0.16123906001322483				
GSE328779	gate_summary	PRIMARY_ROUGH_CELL_TYPE	day_group_mean			Inflammation-associated response				0.1886023402039793	0.0493526109063768	0.13924972929760251	positive
GSE328779	rabbit_residual	PRIMARY_ROUGH_CELL_TYPE	594E	594E	Day7	Collagen	10800.0		0.13651621070526088				
GSE328779	rabbit_residual	PRIMARY_ROUGH_CELL_TYPE	595E	595E	Day28	Collagen	7356.0		-0.04372411021981881				
GSE328779	rabbit_residual	PRIMARY_ROUGH_CELL_TYPE	596E	596E	Day28	Collagen	4473.0		0.01787426364515765				
GSE328779	rabbit_residual	PRIMARY_ROUGH_CELL_TYPE	616E	616E	Day7	Collagen	7704.0		0.07603173996840651				
GSE328779	gate_summary	PRIMARY_ROUGH_CELL_TYPE	day_group_mean			Collagen				0.10627397533683369	-0.01292492328733058	0.11919889862416427	positive
GSE328779	eye_score	NEGSEL_STRICT	GSM9689606	594E	Day7_FI	Contractile	3061.0	0.4839147236886842					
